State,Duration,StartTime,EndTime
²L¯v,7.0 ,2024/5/30 04:13,2024/5/30 04:20
²L¯v,30.0 ,2024/5/30 04:20,2024/5/30 04:50
²`¯v,33.0 ,2024/5/30 04:50,2024/5/30 05:23
¿ô,9.0 ,2024/5/30 05:23,2024/5/30 05:32
²L¯v,9.0 ,2024/5/30 05:32,2024/5/30 05:41
²L¯v,6.0 ,2024/5/30 05:41,2024/5/30 05:47
²L¯v,9.0 ,2024/5/30 05:47,2024/5/30 05:56
²L¯v,4.0 ,2024/5/30 05:56,2024/5/30 06:00
²L¯v,72.0 ,2024/5/30 06:00,2024/5/30 07:12
²L¯v,14.0 ,2024/5/30 07:12,2024/5/30 07:26
²L¯v,10.0 ,2024/5/30 07:26,2024/5/30 07:36
²L¯v,10.0 ,2024/5/30 07:36,2024/5/30 07:46
²L¯v,48.0 ,2024/5/30 07:46,2024/5/30 08:34
²L¯v,1.0 ,2024/5/30 08:34,2024/5/30 08:35
²L¯v,10.0 ,2024/5/30 08:35,2024/5/30 08:45
²L¯v,15.0 ,2024/5/30 08:45,2024/5/30 09:00
²L¯v,24.0 ,2024/5/30 09:00,2024/5/30 09:24
²L¯v,2.0 ,2024/5/30 09:24,2024/5/30 09:26
²L¯v,14.0 ,2024/5/30 09:26,2024/5/30 09:40
¿ô,123.0 ,2024/5/30 09:40,2024/5/30 11:43
¿ô,17.0 ,2024/5/30 11:43,2024/5/30 12:00
¿ô,516.0 ,2024/5/30 12:00,2024/5/30 20:36
¿ô,8.0 ,2024/5/30 20:36,2024/5/30 20:44
¿ô,2.0 ,2024/5/30 20:44,2024/5/30 20:46
¿ô,9.0 ,2024/5/30 20:46,2024/5/30 20:55
¿ô,7.0 ,2024/5/30 20:55,2024/5/30 21:02
¿ô,23.0 ,2024/5/30 21:02,2024/5/30 21:25
¿ô,8.0 ,2024/5/30 21:25,2024/5/30 21:33
¿ô,22.0 ,2024/5/30 21:33,2024/5/30 21:55
¿ô,253.0 ,2024/5/30 21:55,2024/5/31 02:08
²L¯v,9.0 ,2024/5/31 02:08,2024/5/31 02:17
²`¯v,37.0 ,2024/5/31 02:17,2024/5/31 02:54
²L¯v,8.0 ,2024/5/31 02:54,2024/5/31 03:02
²`¯v,63.0 ,2024/5/31 03:02,2024/5/31 04:05
²L¯v,2.0 ,2024/5/31 04:05,2024/5/31 04:07
¿ô,9.0 ,2024/5/31 04:07,2024/5/31 04:16
²L¯v,8.0 ,2024/5/31 04:16,2024/5/31 04:24
²L¯v,19.0 ,2024/5/31 04:24,2024/5/31 04:43
²L¯v,14.0 ,2024/5/31 04:43,2024/5/31 04:57
²L¯v,3.0 ,2024/5/31 04:57,2024/5/31 05:00
²L¯v,23.0 ,2024/5/31 05:00,2024/5/31 05:23
²L¯v,2.0 ,2024/5/31 05:23,2024/5/31 05:25
²L¯v,8.0 ,2024/5/31 05:25,2024/5/31 05:33
²`¯v,24.0 ,2024/5/31 05:33,2024/5/31 05:57
²L¯v,8.0 ,2024/5/31 05:57,2024/5/31 06:05
²L¯v,4.0 ,2024/5/31 06:05,2024/5/31 06:09
²L¯v,12.0 ,2024/5/31 06:09,2024/5/31 06:21
²L¯v,15.0 ,2024/5/31 06:21,2024/5/31 06:36
²L¯v,20.0 ,2024/5/31 06:36,2024/5/31 06:56
²L¯v,3.0 ,2024/5/31 06:56,2024/5/31 06:59
²L¯v,48.0 ,2024/5/31 06:59,2024/5/31 07:47
²L¯v,4.0 ,2024/5/31 07:47,2024/5/31 07:51
²L¯v,9.0 ,2024/5/31 07:51,2024/5/31 08:00
²L¯v,7.0 ,2024/5/31 08:00,2024/5/31 08:07
²L¯v,9.0 ,2024/5/31 08:07,2024/5/31 08:16
²L¯v,14.0 ,2024/5/31 08:16,2024/5/31 08:30
²L¯v,23.0 ,2024/5/31 08:30,2024/5/31 08:53
¿ô,539.0 ,2024/5/31 08:53,2024/5/31 17:52
¿ô,8.0 ,2024/5/31 17:52,2024/5/31 18:00
¿ô,18.0 ,2024/5/31 18:00,2024/5/31 18:18
¿ô,72.0 ,2024/5/31 18:18,2024/5/31 19:30
¿ô,9.0 ,2024/5/31 19:30,2024/5/31 19:39
¿ô,8.0 ,2024/5/31 19:39,2024/5/31 19:47
¿ô,13.0 ,2024/5/31 19:47,2024/5/31 20:00
¿ô,5.0 ,2024/5/31 20:00,2024/5/31 20:05
¿ô,306.0 ,2024/5/31 20:05,2024/6/1 01:11
²L¯v,8.0 ,2024/6/1 01:11,2024/6/1 01:19
²`¯v,30.0 ,2024/6/1 01:19,2024/6/1 01:49
²L¯v,9.0 ,2024/6/1 01:49,2024/6/1 01:58
²L¯v,6.0 ,2024/6/1 01:58,2024/6/1 02:04
²L¯v,34.0 ,2024/6/1 02:04,2024/6/1 02:38
²L¯v,3.0 ,2024/6/1 02:38,2024/6/1 02:41
²L¯v,10.0 ,2024/6/1 02:41,2024/6/1 02:51
²L¯v,4.0 ,2024/6/1 02:51,2024/6/1 02:55
